NUM_POSTE;NOM_USUEL;COMMUNE;LIEU_DIT;DATOUVR;DATFERM;LAT;LON;LAMBX;LAMBY;ALTI;TYPE_POSTE_ACTUEL
48043002;CHATEAUNEUF-DE-RANDON-SPC;CHATEAUNEUF-DE-RANDON;SPC-223-L'HABITARELLE;2004-08-01;;44.633167;3.673333;7061;19600;1180;5
48050001;COCURES-SPC;BEDOUES-COCURES;SPC-223-Cocures;2004-08-01;;44.345833;3.620667;7024;19280;605;5
48061003;FLORAC-SPC;FLORAC TROIS RIVIERES;SPC-223-Florac;2004-08-01;;44.331500;3.591500;7001;19264;549;5
48080003;LANGOGNE-1-SPC;LANGOGNE;SPC-223-Langogne(1);2004-08-01;2008-02-12;44.735000;3.858333;7205;19716;920;5
48080004;LANGOGNE-SPC;LANGOGNE;SPC-223-Pont;2004-08-01;;44.734167;3.856667;7204;19715;920;5
48080005;LANGOGNE-3-SPC;LANGOGNE;SPC-223-Barrage de Naussac;2004-08-01;;44.747833;3.825167;7179;19730;920;5
48095007;MENDE-SPC;MENDE;SPC-223-Mende;2004-08-01;;44.520833;3.505000;6929;19473;726;5
48096005;MEYRUEIS-SPC;MEYRUEIS;SPC-223-Meyrueis;2004-08-01;;44.179333;3.433333;6877;19093;720;5
48097002;MOISSAC-VALLEE-FRANCAISE-SPC;MOISSAC-VALLEE-FRANCAISE;SPC-222-St-Roman;2000-09-01;;44.148667;3.768667;7146;19063;300;5
48099001;LE MONASTIER-PIN-MORIES-SPC;BOURGS SUR COLAGNE;SPC-223-Monastier-Pin-Mories;2012-03-01;;44.509167;3.254667;6730;19458;601;5
48101001;MONTBRUN-SPC;GORGES DU TARN CAUSSES;SPC-223-Pont de Montbrun;2004-08-01;2011-10-26;44.333333;3.496667;6925;19265;560;5
48172004;ST-MAURICE-DE-VENTALON-SPC;PONT DE MONTVERT - SUD MONT LOZERE;SPC-222-Berthel;2000-01-01;;44.319333;3.832333;7194;19254;1100;5
48193001;VEBRON-SPC;VEBRON;SPC-223-Vebron;2004-08-01;;44.238333;3.578333;6992;19160;665;5
48198004;VILLEFORT-SPC;VILLEFORT;SPC-223-Villefort;2000-09-01;;44.441000;3.924833;7265;19391;583;5
52225001;GONCOURT-SPC;BOURMONT-ENTRE-MEUSE-ET-MOUZON;SPC-223-Goncourt;2004-08-01;;48.238333;5.612500;8433;23650;321;5
53086003;LA CROIXILLE-SPC;LA CROIXILLE;SPC-222-LA CROIXILLE(BOURGON);2004-08-01;2019-07-31;48.186667;-1.058333;3475;23596;171;5
54039004;BACCARAT-SPC;BACCARAT;SPC-222-Baccarat;2004-08-01;;48.442333;6.747667;9262;23918;265;5
54077003;BLAMONT-SPC;BLAMONT;SPC-222-Blamont;2004-08-01;;48.588333;6.845000;9325;24084;265;5
54152001;DAMELEVIERES-SPC;DAMELEVIERES;SPC-222-Damelevières;2004-08-01;;48.563333;6.383333;8986;24038;216;5
54222001;GERBEVILLER-SPC;GERBEVILLER;SPC-222-Gerbeviller;2004-08-01;;48.486667;6.521667;9093;23958;246;5
54351001;MARBACHE-SPC;MARBACHE;SPC-222-Marbache;2004-08-01;;48.788333;6.121333;8781;24278;206;5
54400003;NOMENY-SPC;NOMENY;SPC-223-Nomeny;2004-08-01;;48.881667;6.233500;8858;24386;201;5
54574001;VILLERS-LA-CHEVRE-SPC;VILLERS-LA-CHEVRE;SPC-222-Villers-la-Chèvre;2004-08-01;;49.505000;5.690000;8430;25060;361;5
55043002;BELLEVILLE-SUR-MEUSE-SPC;BELLEVILLE-SUR-MEUSE;SPC-222-Belleville-sur-Meuse;2004-08-01;;49.172500;5.379833;8220;24681;198;5
55357001;MORGEMOULIN-SPC;MORGEMOULIN;SPC-223-Morgemoulin;2011-10-01;;49.234167;5.581167;8364;24756;210;5
55502005;STENAY-SPC;STENAY;SPC-223-Stenay;2004-08-01;;49.493333;5.180000;8061;25033;169;5
